age,educ,exper,hours,nwifeinc,speduc,kidslt6,kidsge6,expersq,black,hispanic
36,14,15.21153846,1040,50,14,1,1,231.3909024,0,1
36,16,14.38461538,1820,38,14,1,0,206.9171598,0,1
38,16,20.69230769,1560,85.2,14,1,1,428.1715976,0,0
35,17,15.61538462,2755,120,16,2,0,243.8402367,0,0
36,12,19.13461538,1560,84.8,12,0,2,366.1335059,1,0
37,16,15.63461538,2080,27,13,1,0,244.4411982,0,1
36,18,17.15384615,1976,15,18,1,2,294.2544379,0,0
38,18,14.94230769,592,85,12,0,2,223.2725592,0,0
38,16,19.13461538,2080,66,14,0,0,366.1335059,0,0
36,18,14.19230769,2340,135,16,2,0,201.4215976,0,0
36,16,8.903846154,0,467.966,20,1,1,79.27847633,0,0
34,18,9.846153846,0,178,20,2,0,96.94674556,0,0
36,16,17.38461538,840,63,10,3,0,302.2248521,0,0
36,18,16.40384615,1820,175,17,2,1,269.0861686,0,0
36,16,16.44230769,1820,144,13,0,2,270.3494822,0,1
38,13,14.82692308,1865,32.5,9,1,1,219.8376479,0,1
36,17,13.57692308,192,125,14,3,0,184.3328402,0,0
34,15,12.23076923,820,75,16,0,2,149.591716,0,1
38,18,19.63461538,2080,70,14,1,1,385.5181213,0,0
38,20,18.25,2694,54.1,16,2,1,333.0625,0,0
36,20,17.30769231,2730,86.3,18,1,0,299.556213,0,0
34,16,16.44230769,3110,139.515,18,1,1,270.3494822,0,0
38,12,19.73076923,2080,80,12,0,1,389.3032544,0,0
37,14,18.48076923,2080,71.329,16,0,2,341.5388314,0,0
37,16,16.65384615,2080,63,12,1,0,277.3505917,0,0
36,15,5.057692308,0,140,12,0,1,25.58025148,0,1
38,16,20.86538462,1664,34,12,1,1,435.3642751,0,1
36,14,9.423076923,0,40,12,0,3,88.7943787,0,1
36,12,18.90384615,104,70,14,2,0,357.3553994,0,0
35,16,17.25,2600,312.624,16,2,0,297.5625,0,0
35,20,17.40384615,1872,95,14,0,2,302.8938609,0,1
38,17,18,1552,70,16,1,0,324,0,0
38,11,7.115384615,0,60,12,0,1,50.62869822,0,0
37,16,18.15384615,2260,30,12,1,1,329.5621302,0,1
34,16,3.615384615,0,190,16,2,2,13.07100592,0,0
37,20,17.57692308,2600,80,16,2,1,308.9482249,0,0
38,16,12.59615385,1400,53.486,12,0,0,158.6630917,0,0
37,16,14.51923077,624,437.966,16,2,2,210.8080621,0,0
35,20,17.53846154,2080,150,19,1,1,307.5976331,0,0
36,14,18.80769231,2236,8,12,0,0,353.7292899,0,0
38,16,15,2132,94,12,1,0,225,0,0
36,12,19.55769231,2080,70,13,0,0,382.5033284,0,1
35,14,17.78846154,2080,52,16,1,2,316.4293639,0,1
38,18,18.11538462,2080,56,10,2,0,328.1671598,0,1
35,11,7.25,1101,30,10,1,3,52.5625,0,1
35,13,16.73076923,583,71.243,12,0,3,279.9186391,0,0
36,16,19.63461538,1165,72,13,1,2,385.5181213,0,0
37,12,1.903846154,0,30,11,1,5,3.624630178,0,1
38,13,9.634615385,2230,23,13,0,1,92.82581361,0,1
35,16,14.51923077,1800,312.624,14,2,0,210.8080621,0,0
36,20,18.19230769,2080,75.75,14,0,2,330.9600592,0,0
37,12,3.038461538,0,37,14,0,3,9.232248521,0,1
34,11,6.788461538,0,70,12,1,2,46.08321006,0,1
36,7,3.788461538,697,11,9,0,3,14.35244083,0,1
37,12,19.48076923,2080,65,12,0,1,379.5003698,0,1
37,13,15.86538462,0,30,12,1,3,251.710429,0,1
36,12,0,0,60,12,1,3,0,0,1
36,10,0.134615385,0,80,11,0,1,0.018121302,0,1
34,13,5.961538462,1050,75,16,1,1,35.53994083,0,1
36,13,16.42307692,1400,70,14,2,2,269.7174556,0,1
35,18,18.25,2080,252,12,0,2,333.0625,0,0
36,14,9.692307692,0,7.5,12,1,1,93.9408284,0,1
36,20,12.61538462,103,15,14,0,0,159.147929,0,1
36,12,2.519230769,0,80,12,1,2,6.346523669,0,0
35,19,8.730769231,0,100,19,2,0,76.22633136,0,0
38,20,19.46153846,3195,80,20,0,2,378.7514793,0,0
34,20,13.15384615,240,140.3,16,1,0,173.0236686,1,0
37,9,15.05769231,2392,45.05,16,0,1,226.7340976,0,1
38,12,20.76923077,2080,87,12,1,1,431.3609467,0,1
36,14,14,0,75,14,1,1,196,0,0
36,18,15.78846154,2588,64.8,16,0,0,249.2755178,0,1
37,12,12.23076923,0,45,16,0,2,149.591716,0,1
34,14,13.07692308,416,100,14,0,0,171.0059172,0,0
37,20,13.86538462,760,55,16,0,2,192.2488905,0,1
37,13,5.5,0,93,14,0,4,30.25,0,0
36,12,10.98076923,0,90,14,1,1,120.5772929,0,1
36,11,3.134615385,0,130,12,1,3,9.825813609,0,0
37,20,19.05769231,2340,35,15,0,2,363.1956361,0,0
35,20,18.13461538,2600,80,18,1,1,328.8642751,0,0
36,16,10.75,520,100,13,0,3,115.5625,0,1
37,13,5.5,0,12.6,12,1,1,30.25,1,0
37,13,20.07692308,2009,7.5,14,0,0,403.0828402,0,1
36,17,19.42307692,2340,75,14,0,2,377.2559172,0,0
